symbol,timetoexpiry,strike,last,bid,ask,volume,openint,curprice,histvol,implvol,bsval
TPX,76,47.5,15.1,17.3,17.9,519,801,64.519997,0.284340273520513,0.577705125400484,17.0419651685828
DLPH,139,115,1,0.8,0.95,21,19,98.400002,0.205968838892332,0.22375547555846,0.717292144504421
CBS,34,58,1.53,1.75,2.01,10,10,58,0.3072388218086,0.284708189482343,2.16895048489262
CBS,20,70,0.06,0,0.11,100,1008,58,0.3072388218086,0.458576295470597,0.00639479431797907
MMP,111,82.5,0.03,0,0.1,54,228,71.059998,0.105834546884021,0.153126754085861,0.00747648312610782
CLS,76,17.5,0.25,0.15,0.25,250,20,12.38,0.22573630276334,0.642424037716527,0.000152926022594642
MTN,20,195,30,32.7,35.7,2,165,228.119995,0.195637896798745,0.655625572935537,33.1207516633208
XL,48,42,0.63,0.65,0.87,450,862,39.450001,0.448735331314219,0.318639785175341,1.55867814336548
IHG,111,60,0.9,1,1.6,150,1,52.889999,0.140889223874247,0.342409687627242,0.0961907019246264
CPL,76,17.5,0.55,0.25,0.7,27,84,17.16,0.102025086767523,0.272570622243122,0.179996029762006
KAI,202,110,1.78,2.7,3.6,13,13,98.550003,0.0909725600209528,0.261275561109431,0.154612622821541
AA,475,45,8.8,8.8,9.1,70,229,46.619999,0.3278753115086,0.399905205607532,7.6360079806145
ARI,20,17.5,0.45,0.6,0.8,39,23,18.110001,0.0979623511348614,0.257204009374687,0.622124055312351
PG,48,92.5,0.81,0.79,0.87,3697,1469,90.980003,0.120371467185802,0.113769957643845,0.9511656821625
WAT,48,140,39,39,41.3,100,33,179.520004,0.126413065068458,0.566279953273769,39.5200040364414
MSM,48,75,3.7,3.7,4.6,770,707,75.57,0.0990664734544807,0.395966417242034,1.38780486131299
OMC,202,72.5,4.58,4.8,5.5,758,750,74.07,0.155389567074463,0.215094845861153,4.2205757251938
BZH,20,16,2.54,2.65,3,5,165,18.74,0.486057678771102,0.707678081130651,2.81387651067223
SNE,475,23,17.4,14.1,15.9,34,95,37.34,0.1931597426566,0.473147908140814,14.371486211621
IVZ,48,35,0.99,0.9,1.05,52,1729,35.040001,0.172637671181097,0.203320533432938,0.894659951747169
THC,48,23,0.2,0.1,0.2,53,674,16.43,0.545748217563705,0.689755239721181,0.0701530100603456
CHL,167,42.5,9,8,9.3,5,5,50.57,0.119937806218648,0.323836908930698,8.09157390801199
EL,20,80,14.2,27.7,28.6,56,0,107.839996,0.126326238267037,0.922352827388759,27.839996
CR,20,75,3.61,5,5.6,8,28,79.989998,0.140373388237498,0.316688649893668,5.01401499390344
CRI,20,90,7.6,8.8,9.9,140,142,98.75,0.163283453052608,0.46946334792585,8.75901913358491
PB,48,70,0.65,0.55,1.35,102,0,65.730003,0.307414810909203,0.307483686950059,1.34942454704292
EAT,20,30,2,2,2.35,7,179,31.860001,0.28468079240455,0.414742020355532,2.06582165552025
WLL,20,6,0.13,0.12,0.14,1235,2782,5.46,0.657749254926175,0.645475308102763,0.145403212384811
AHC,139,5,0.25,0.05,0.25,4,65,4.6,0.377840884708195,0.356378827160524,0.273527599040859
BAX,6,64,0.45,0.42,0.54,1350,2,62.75,0.111298221354481,0.323519923297809,0.034475862328005
JCP,48,4.5,0.12,0.1,0.13,828,4169,3.81,0.403974171445049,0.633796372227161,0.0386622537773329
KNX,20,35,5.4,5,8.7,2,4,41.549999,0.232152072390283,1.32897365923205,6.55044873305979
SGU,167,12.5,0.1,0,0.15,53,339,11.35,0.147904226890952,0.168492212891963,0.106057639853138
HRB,20,31,0.01,0,0.05,1265,259,26.48,0.259352968108416,0.398338445342251,0.00257818735224311
ZTO,111,15,0.85,0.65,0.8,6,5269,14.04,0.296814049246112,0.382888980596759,0.543171140029309
SXCP,48,15,2.15,2.1,2.65,60,90,17.200001,0.19417075270366,0.540525618305349,2.21114975121016
OBE,76,2,0.03,0,0.05,100,2487,1.05,2.59506802575067,1.23454024941918,0.289207880865663
LPX,139,31,0.7,0.7,0.8,2405,403,27.08,0.320248239003405,0.313427123023286,0.838127129864495
R,475,125,0.6,0.15,0.5,19,19,84.550003,0.101545445897922,0.207702758721471,0.00113373698644197
HCP,20,30,0.04,0,0.05,153,889,27.83,0.148885748444647,0.222177259070917,0.00559805880853009
